MODÜL,DOSYA ADI / KONU,İÇERİK (METİN + PDF),KAYNAK LİNK
DERS PROGRAMLARI,2025-2026 Güz Dönemi Ders Programı (Güncellenmiş 2),"--- Sayfa 1 ---
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ 2025-2026 GÜZ YARIYILI HAFTALIK DERS PROGRAM ÇİZELGESİ
1. SINIF 2. SINIF
GÜN Saat Dersin Adı Sınıf Dersin Adı Sınıf
İSETRAZAP
08:30-09:15
09:25-10:10 V (P e r r o i f Y . a D p r ı . l a H rı alife KODAZ) G010
10:20-11:05 Veri Yapıları G010
11:15-12:00 Veri Yapıları G010
12:10-12:55 A (D y o rı ç k . M Dr a . t S em ait a A tik li UYMAZ) C309
Yapay Zeka ve Makine Öğrenmesi
13:15-14:00 Lab D212 Ayrık Matematik C309
(Prof. Dr. Mesut GÜNDÜZ)
14:10-14:55 Y La a b pay Zeka ve Makine Öğrenmesi D212 Ayrık Matematik C309
15:05-15:50 Matematik I G104
16:00-16:45 (MDaotçe.m Dart.i kÖ Imür Kıvanç KÜRKÇÜ) G104
ILAS
08:30-09:15
Diferansiyel Denklemler
09:25-10:10 Yapay Zeka ve Makine Öğrenmesi G104 (Doç. Dr. Ömür Kıvanç KÜRKÇÜ) C309
10:20-11:05 Yapay Zeka ve Makine Öğrenmesi G104 Diferansiyel Denklemler C309
11:15-12:00 Yapay Zeka ve Makine Öğrenmesi G104 Diferansiyel Denklemler C309
12:10-12:55
Fizik
13:15-14:00 (Doç. Dr. Sevda ENGİN) G011
Olasılık ve İstatistik
14:10-14:55 Fizik G011 (Arş. Gör. Dr. Fatih TİTREK) C205
15:05-15:50 Fizik G011 Olasılık ve İstatistik C205
16:00-16:45 Olasılık ve İstatistik C205
ABMAŞRAÇ
08:30-09:15
09:25-10:10 T (Ö ü ğ rk r. D G i ö li r . 1 Ümit KARUL) asenkron B (A il r i ş m . s G e ö l r H . D es r a . p A l y am bü a k T e e B k A ni B kl A er D i AĞ) D212
10:20-11:05 Türk Dili 1 asenkron Bilimsel Hesaplama Teknikleri D212
11:15-12:00 A (Ö ta ğ t r ü . r G k ö İ r l . k T el u e b r a i v Ö e Z İ D nk İ ı N la Ç p ) Tarihi asenkron Bilimsel Hesaplama Teknikleri D212
12:10-12:55 Atatürk İlkeleri ve İnkılap Tarihi asenkron
13:15-14:00
14:10-14:55
15:05-15:50 Üniversite Seçmeli Dersi Üniversite Seçmeli Dersi
16:00-16:45 Üniversite Seçmeli Dersi Üniversite Seçmeli Dersi
17:00-17:45
EBMEŞREP
08:30-09:15 Matematik 1 G012
Yapay Zeka ve Etik
09:25-10:10 Matematik 1 G012 (Doç. Dr. Hakan YILMAZ) G010
10:20-11:05 Yapay Zeka ve Etik G010
11:15-12:00 Yapay Zeka ve Etik G010
12:10-12:55
13:15-14:00 P (D ro o g ç r . a D m r l . a H m a a k y a a n G Y i I r L iş MAZ) D212
14:10-14:55 Programlamaya Giriş D212
15:05-15:50 Programlamaya Giriş D212
16:00-16:45 LPraobgramlamaya Giriş D212
Lab
AMUC
09:25-10:10
Yabancı Dil 1
10:20-11:05 (Öğr. Gör. Naile CANLI CİNGÖZ) G010
11:15-12:00 Yabancı Dil 1 G010
12:10-12:55
13:15-14:00
14:10-14:55
15:05-15:50
16:00-16:45
D LA E B RSLİK YERİ
G0 10-11-12 G Blok Zemin Kat
G1 04 G Blok 1. Kat
C3 09 C Blok 3. Kat
C2 05 C Blok 2. Kat
D212 B 2. i lg K i a s t a ( y 4 a 0 r ) Laboratuvarı D Blok
İnternet üzerinden asenkron
Asenkron olarak yapılacaktır. Ders
saatleri temsilidir.
Prof. Dr. Esra YEL Doç.Dr.Hakan Yılmaz
Mühendislik ve Doğa Bilimleri Yapay Zeka ve Makine Öğrenmesi
DekaFna kYüalrtdeısmicısı",https://www.ktun.edu.tr/Dosyalar/5015/files/Ders%20Program%c4%b1%20Son%20-%20N%c3%96%20(2).pdf
DERS PROGRAMLARI,2025-2026 Güz Dönemi Ders Programı (Güncellenmiş),"--- Sayfa 1 ---
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ 2025-2026 GÜZ YARIYILI HAFTALIK DERS PROGRAM ÇİZELGESİ
1. SINIF 2. SINIF
GÜN Saat Dersin Adı Sınıf Dersin Adı Sınıf
İSETRAZAP
08:30-09:15
Veri Yapıları
09:25-10:10 G010
(Prof. Dr. Halife KODAZ)
10:20-11:05 Veri Yapıları G010
11:15-12:00 Veri Yapıları G010
Ayrık Matematik
12:10-12:55 C309
(Doç. Dr. Sait Ali UYMAZ)
Yapay Zeka ve Makine Öğrenmesi
13:15-14:00 Lab D212 Ayrık Matematik C309
(Prof. Dr. Mesut GÜNDÜZ)
Yapay Zeka ve Makine Öğrenmesi
14:10-14:55 D212 Ayrık Matematik C309
Lab
15:05-15:50 Matematik I G104
16:00-16:45 (MDaotçe.m Dart.i kÖ Imür Kıvanç KÜRKÇÜ) G104
ILAS
08:30-09:15
Diferansiyel Denklemler
09:25-10:10 Yapay Zeka ve Makine Öğrenmesi G104 (Doç. Dr. Ömür Kıvanç C309
KÜRKÇÜ)
10:20-11:05 Yapay Zeka ve Makine Öğrenmesi G104 Diferansiyel Denklemler C309
11:15-12:00 Yapay Zeka ve Makine Öğrenmesi G104 Diferansiyel Denklemler C309
12:10-12:55
Fizik
13:15-14:00 C309
(Doç. Dr. Sevda ENGİN)
Olasılık ve İstatistik
14:10-14:55 Fizik C309 C205
(Arş. Gör. Dr. Fatih TİTREK)
15:05-15:50 Fizik C309 Olasılık ve İstatistik C205
16:00-16:45 Olasılık ve İstatistik C205
ABMAŞRAÇ
08:30-09:15
Programlamaya Giriş
09:25-10:10 D212
(Doç. Dr. Hakan YILMAZ)
10:20-11:05 Programlamaya Giriş D212
Programlamaya Giriş
11:15-12:00 D212 Lab
Programlamaya Giriş
12:10-12:55 D212
Lab
13:15-14:00
14:10-14:55
Yapay Zeka ve Etik
15:05-15:50 Matematik 1 C309 D210
(Doç. Dr. Hakan YILMAZ)
16:00-16:45 Matematik 1 C309 Yapay Zeka ve Etik D210
17:00-17:45 Yapay Zeka ve Etik D210
EBMEŞREP
Bilimsel Hesaplama Teknikleri
Türk Dili 1
09:25-10:10 asenkron (Arş. Gör. Dr. Aybüke D212
(Öğr. Gör. Ümit KARUL)
BABADAĞ)
10:20-11:05 Türk Dili 1 asenkron Bilimsel Hesaplama Teknikleri D212
Atatürk İlkeleri ve İnkılap Tarihi
11:15-12:00 asenkron Bilimsel Hesaplama Teknikleri D212
(Öğr. Gör. Tuba ÖZDİNÇ)
12:10-12:55 Atatürk İlkeleri ve İnkılap Tarihi asenkron
13:15-14:00
14:10-14:55
15:05-15:50
16:00-16:45
AMUC
09:25-10:10
Yabancı Dil 1
10:20-11:05 G010
(Öğr. Gör. Naile CANLI CİNGÖZ)
11:15-12:00 Yabancı Dil 1 G010
12:10-12:55
13:15-14:00
14:10-14:55
15:05-15:50
16:00-16:45
DERSLİK YERİ
LGA0B 10-11 G Blok Zemin Kat
D212 Bilgisayar Laboratuvarı D Blok
2. Kat (40)
Asenkron İnternet üzerinden asenkron
olarak yapılacaktır. Ders
saatleri temsilidir.
Prof. Dr. Esra YEL Prof. Dr. Mesut GÜNDÜZ
Mühendislik ve Doğa Bilimleri Yapay Zeka ve Makine Öğrenmesi
DekaFna kYüalrtdeısmicısı",https://www.ktun.edu.tr/Dosyalar/5015/files/2025-2026_ders_program%c4%b1_g%c3%bcz.pdf
DERS PROGRAMLARI,2025-2026 Güz Dönemi Ders Programı,"--- Sayfa 1 ---
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ 2025-2026 GÜZ YARIYILI HAFTALIK DERS PROGRAM ÇİZELGESİ
1. SINIF 2. SINIF
GÜN Saat Dersin Adı Sınıf Dersin Adı Sınıf
İSETRAZAP
08:30-09:15
Veri Yapıları
09:25-10:10 G011
(Prof. Dr. Halife KODAZ)
10:20-11:05 Veri Yapıları G011
11:15-12:00 Veri Yapıları G011
Ayrık Matematik
12:10-12:55 G011
(Doç. Dr. Sait Ali UYMAZ)
Yapay Zeka ve Makine Öğrenmesi
13:15-14:00 D212 Ayrık Matematik G011
(Prof. Dr. Mesut GÜNDÜZ)
14:10-14:55 Yapay Zeka ve Makine Öğrenmesi D212 Ayrık Matematik G011
Matematik I
15:05-15:50 G010
(Doç. Dr. Ömür Kıvanç KÜRKÇÜ)
16:00-16:45 Matematik I G010
ILAS
08:30-09:15
Diferansiyel Denklemler
09:25-10:10 Yapay Zeka ve Makine Öğrenmesi G010 (Doç. Dr. Ömür Kıvanç G011
KÜRKÇÜ)
10:20-11:05 Yapay Zeka ve Makine Öğrenmesi G010 Diferansiyel Denklemler G011
11:15-12:00 Yapay Zeka ve Makine Öğrenmesi G010 Diferansiyel Denklemler G011
12:10-12:55
Fizik
13:15-14:00 G010
(Doç. Dr. Sevda ENGİN)
Olasılık ve İstatistik
14:10-14:55 Fizik G010 G011
(Arş. Gör. Dr. Fatih TİTREK)
15:05-15:50 Fizik G010 Olasılık ve İstatistik G011
16:00-16:45 Olasılık ve İstatistik G011
ABMAŞRAÇ
08:30-09:15
Programlamaya Giriş
09:25-10:10 G010
(Doç. Dr. Hakan YILMAZ)
10:20-11:05 Programlamaya Giriş G010
11:15-12:00 Programlamaya Giriş D212
12:10-12:55 Programlamaya Giriş D212
13:15-14:00
14:10-14:55
Yapay Zeka ve Etik
15:05-15:50 Matematik 1 G010 G011
(Doç. Dr. Hakan YILMAZ)
16:00-16:45 Matematik 1 G010 Yapay Zeka ve Etik G011
17:00-17:45 Yapay Zeka ve Etik G011
EBMEŞREP
Bilimsel Hesaplama Teknikleri
Türk Dili 1
09:25-10:10 asenkron (Arş. Gör. Dr. Aybüke G011
(Öğr. Gör. Ümit KARUL)
BABADAĞ)
10:20-11:05 Türk Dili 1 asenkron Bilimsel Hesaplama Teknikleri G011
Atatürk İlkeleri ve İnkılap Tarihi
11:15-12:00 asenkron Bilimsel Hesaplama Teknikleri D212
(Öğr. Gör. Tuba ÖZDİNÇ)
12:10-12:55 Atatürk İlkeleri ve İnkılap Tarihi asenkron
13:15-14:00
14:10-14:55
15:05-15:50
16:00-16:45
AMUC
09:25-10:10
Yabancı Dil 1
10:20-11:05 G010
(Öğr. Gör. Naile CANLI CİNGÖZ)
11:15-12:00 Yabancı Dil 1 G010
12:10-12:55
13:15-14:00
14:10-14:55
15:05-15:50
16:00-16:45
DERSLİK YERİ
LGA0B 10-11 G Blok Zemin Kat
D212 Bilgisayar Laboratuvarı D Blok
2. Kat (40)
İnternet üzerinden asenkron
Asenkron olarak yapılacaktır. Ders
saatleri temsilidir.
Prof. Dr. Esra YEL Prof. Dr. Mesut GÜNDÜZ
Mühendislik ve Doğa Bilimleri
Yapay Zeka ve Makine Öğrenmesi
Fakültesi
Dekan Yardımcısı",https://www.ktun.edu.tr/Dosyalar/5015/files/2025-2026-guz_donemi.pdf
DERS PROGRAMLARI,2024-2025 Bahar Dönemi Ders Programı (Güncellenmiş),"--- Sayfa 1 ---
Gün Saat Dersin Adı Sınıf
İSETRAZAP
09.25-10.10 Türk Dili 2 (Öğr. Gör. Ümit KARUL) Asenkron
10.20-11.05 Türk Dili 2 Asenkron
Atatürk İlkeleri ve İnkılap Tarihi 2 (Öğr. Gör. Tuba
11.15-12.00 Asenkron
ÖZDİNÇ)
12.10-12.55 Atatürk İlkeleri ve İnkılap Tarihi 2 Asenkron
13.15-14.00
14.10-14.55
15.05-15.50 Matematik 2 (Doç. Dr. Ömür Kıvanç KÜRKÇÜ) G-011
16.00-16.45 Matematik 2 G-011
ILAS
09.25-10.10
Makine Öğrenmesinin İlkeleri (Dr. Öğr. Üyesi
10.00-10.50
Kaplan KAPLAN) Senkron, uzaktan
11.00-11.50 Makine Öğrenmesinin İlkeleri Senkron, uzaktan
12.00-12.50 Makine Öğrenmesinin İlkeleri Senkron, uzaktan
Nesneye Yönelik Programlama (Dr. Öğr. Üyesi
13.00-13.50 Senkron, uzaktan
Furkan GÖZ)
14.00-14.50 Nesneye Yönelik Programlama Senkron, uzaktan
15.00-15.50 Nesneye Yönelik Programlama Senkron, uzaktan
16.00-16.50 Nesneye Yönelik Programlama Senkron, uzaktan
ABMAŞRAÇ
09.25-10.10
10.20-11.05
11.15-12.00
12.10-12.55
13.15-14.00 Yabancı Dil 2 (Öğr. Gör. Naile CANLI CİNGÖZ) G-011
14.10-14.55 Yabancı Dil 2 G-011
15.05-15.50 Matematik 2 G-011
16.00-16.45 Matematik 2 G-011
EBMEŞREP
09.25-10.10 Algoritmalar (Doç. Dr. Hakan YILMAZ) G-011
10.20-11.05 Algoritmalar G-011
11.15-12.00 Algoritmalar G-011
12.10-12.55
13.15-14.00 Lineer Cebir (Prof. Dr. Nurettin IRMAK) D-212
14.10-14.55 Lineer Cebir D-212
15.05-15.50 Lineer Cebir D-212
16.00-16.45
AMUC
09.25-10.10
10.20-11.05
11.15-12.00
12.10-12.55
13.15-14.00
14.10-14.55
15.05-15.50
16.00-16.45",https://www.ktun.edu.tr/Dosyalar/5008/files/Bahar%20D%C3%B6nemi%20Ders%20Program%C4%B1%20G%C3%BCncellenmi%C5%9F.pdf
DERS PROGRAMLARI,2024-2025 Bahar Dönemi Ders Programı,"--- Sayfa 1 ---
Gün Saat Dersin Adı Sınıf
İSETRAZAP
09.25-10.10 Türk Dili 2 (Öğr. Gör. Ümit KARUL) Asenkron
10.20-11.05 Türk Dili 2 Asenkron
Atatürk İlkeleri ve İnkılap Tarihi 2 (Öğr. Gör. Tuba
11.15-12.00 Asenkron
ÖZDİNÇ)
12.10-12.55 Atatürk İlkeleri ve İnkılap Tarihi 2 Asenkron
13.15-14.00
14.10-14.55
15.05-15.50 Matematik 2 (Doç. Dr. Ömür Kıvanç KÜRKÇÜ) G-011
16.00-16.45 Matematik 2 G-011
ILAS
09.25-10.10
Makine Öğrenmesinin İlkeleri (Dr. Öğr. Üyesi
10.00-10.50
Kaplan KAPLAN) Senkron, uzaktan
11.00-11.50 Makine Öğrenmesinin İlkeleri Senkron, uzaktan
12.00-12.50 Makine Öğrenmesinin İlkeleri Senkron, uzaktan
Nesneye Yönelik Programlama (Dr. Öğr. Üyesi
13.00-13.50 Senkron, uzaktan
Furkan GÖZ)
14.00-14.50 Nesneye Yönelik Programlama Senkron, uzaktan
15.00-15.50 Nesneye Yönelik Programlama Senkron, uzaktan
16.00-16.50 Nesneye Yönelik Programlama Senkron, uzaktan
ABMAŞRAÇ
09.25-10.10
10.20-11.05 Yabancı Dil 2 (Öğr. Gör. Naile CANLI CİNGÖZ) D-212
11.15-12.00 Yabancı Dil 2 D-212
12.10-12.55
13.15-14.00
14.10-14.55
15.05-15.50 Matematik 2 G-011
16.00-16.45 Matematik 2 G-011
EBMEŞREP
09.25-10.10 Algoritmalar (Doç. Dr. Hakan YILMAZ) G-011
10.20-11.05 Algoritmalar G-011
11.15-12.00 Algoritmalar G-011
12.10-12.55
13.15-14.00 Lineer Cebir (Prof. Dr. Nurettin IRMAK) D-212
14.10-14.55 Lineer Cebir D-212
15.05-15.50 Lineer Cebir D-212
16.00-16.45
AMUC
09.25-10.10
10.20-11.05
11.15-12.00
12.10-12.55
13.15-14.00
14.10-14.55
15.05-15.50
16.00-16.45",https://www.ktun.edu.tr/Dosyalar/5008/files/Bahar%20D%C3%B6nemi%20Ders%20Program%C4%B1.pdf
DERS PROGRAMLARI,2024-2025 Güz Dönemi Ders Programı,"--- Sayfa 1 ---
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ BÖLÜMÜ 2024-2025 GÜZ YARIYILI HAFTALIK DERS PROGRAM
ÇİZELGESİ
1. SINIF 2. SINIF 3. SINIF 4. SINIF
GÜN Saat Dersin Adı Sınıf
09:25-10:10 Türk Dili I(Doç. Dr. Haktan KAPLAN) Asenkron
10:20-11:05 Türk Dili I Asenkron
11:15-12:00 Atatürk İlkeleri ve İnkılap Tarihi I(Öğr. Gör. Tuba Asenkron
ÖZDİNÇ)
12:10-12:55 Atatürk İlkeleri ve İnkılap Tarihi I Asenkron
13:15-14:00
14:10-14:55
15:05-15:50 Matematik 1(Doç. Dr. Ömür Kıvanç KÜRKÇÜ) G-010
16:00-16:45 Matematik 1 G-010
09:25-10:10
10:00-10:50 Programlamaya Giriş(Prof. Dr. Halil YİĞİT, Kocaeli Senkron, Uzaktan
Ün.)
11:00-11:50 Programlamaya Giriş Senkron, Uzaktan
12:00-12:50 Programlamaya Giriş Senkron, Uzaktan
13:00-13:50 Programlamaya Giriş Senkron, Uzaktan
14:00-14:50 Yapay Zeka ve Makine Senkron, Uzaktan
Öğrenimine Giriş(Prof. Dr. SEVİNÇ İLHAN OMURCA,
Kocaeli Ün.)
15:00-15:50 Yapay Zeka ve Makine Öğrenimine Giriş Senkron, Uzaktan
16:00-16:50 Yapay Zeka ve Makine Öğrenimine Giriş Senkron, Uzaktan
09:25-10:10
10:20-11:05
11:15-12:00
12:10-12:55
13:15-14:00 Üniversite Seçmeli(Yabancı Dilde Okuma Yazma, G-010
Öğr. Gör. Mehtap YORGANCI)
14:10-14:55 Üniversite Seçmeli G-010
15:05-15:50 Matematik 1(Doç. Dr. Ömür Kıvanç KÜRKÇÜ) G-010
16:00-16:45 Matematik 1 G-010
09:25-10:10 Fizik (Doç. Dr. Sevda ENGİN) G-010
10:20-11:05 Fizik G-010
11:15-12:00 Fizik G-010
12:10-12:55
13:15-14:00
14:10-14:55
15:05-15:50
16:00-16:45
09:25-10:10
10:20-11:05 Yabancı Dil I(Öğr. Gör. Naile Canlı CİNGÖZ) G-010
11:15-12:00 Yabancı Dil I G-010
12:10-12:55
13:15-14:00
14:00-14:50 Yapay Zeka ve Makine Öğrenimine Giriş(Doç. Dr. Senkron,
ZEYNEP HİLAL KİLİMCİ, Kocaeli Ün.) Uzaktan
15:00-15:50 Yapay Zeka ve Makine Öğrenimine Giriş Senkron,
Uzaktan
16:00-16:45
Prof. Dr. Mesut GÜNDÜZ
Yapay Zeka ve Makine Öğrenmesi
Bölüm Başkanı
--- Sayfa 2 ---
Prof. Dr. Mesut GÜNDÜZ
Yapay Zeka ve Makine Öğrenmesi
Bölüm Başkanı",https://www.ktun.edu.tr/Dosyalar/5008/files/2024-2025_YZ_GUZ_3.pdf
SINAV PROGRAMLARI,2025-2026 Güz yarıyılı bütünleme takvimi,"--- Sayfa 1 ---
BİLGİSAYAR VE BİLİŞİM BİLİMLERİ FAKÜLTESİ
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ BÖLÜMÜ
BÜTÜNLEME TAKVİMİ
1. SINIF 2. SINIF 3. SINIF 4. SINIF
Saat Ders Sınıf Saat Ders Sınıf Saat Ders Sınıf Saat Ders Sınıf
İSETRAZAP 6202.10.91
BBF302-1230306
BBF107-1230103
10.30 CZ09 13.00 Diferansiyel CZ09
Matematik 1
Denklemler
ILAS
6202.10.02
YPZ304-1230304
BBF110-1230106
11.00 CZ09 15.00 Bilimsel Hesaplama G011
Türk Dili 1
Teknikleri
BBF104-1230105
11.00 Atatürk İlkeleri ve CZ09
İnkılap Tarihi 1
YPZ101-1230102
Yapay Zeka ve
13.00 G011
Makine Öğrenimine
Giriş
ABMAŞRAÇ 6202.10.12
BBF109-1230108
10.00 CZ09 Yabancı Dil 1
Dersin Dersin
Üniversite Seçmeli işlendiği Üniversite Seçmeli işlendiği
15.00 15.00
Ders derslikte Ders derslikte
yapılacaktır yapılacaktır
EBMEŞREP 6202.10.22
BBF108-1230104 YPZ301-1230301
10.00 CZ09 13.00 G011 Fizik Veri Yapıları
YPZ303-1230303
15.00 G011
Yapay Zeka ve Etik
AMUC
6202.10.32
YPZ102-1230101
YPZ302-1230302
10.00 Programlamaya D212 13.00 G011
Ayrık Matematik Giriş
YPZ305-1230305
15.00 G011
Olasılık ve İstatistik
İSETRAMUC
RAZAP
6202.10.42
6202.10.52
Dr. Öğr. Üyesi Hazim İŞCAN Doç. Dr. Hakan YILMAZ
Dekan Yardımcısı Bölüm Başkanı",https://www.ktun.edu.tr/Dosyalar/5015/files/b%c3%bct%c3%bcnleme%20takvimi.pdf
SINAV PROGRAMLARI,2025-2026 Güz yarıyılı final takvimi,"--- Sayfa 1 ---
BİLGİSAYAR VE BİLİŞİM BİLİMLERİ FAKÜLTESİ
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ BÖLÜMÜ
FİNAL TAKVİMİ
1. SINIF 2. SINIF 3. SINIF 4. SINIF
Saat Ders Sınıf Saat Ders Sınıf Saat Ders Sınıf Saat Ders Sınıf
İSETRAZAP 5202.21.92
BBF302-1230306
BBF107-1230103
10.30 CZ09 13.00 Diferansiyel CZ09
Matematik 1
Denklemler
ILAS
5202.21.03
BBF110-1230106 YPZ303-1230303
11.00 CZ09 13.00 G011 Türk Dili 1 Yapay Zeka ve Etik
BBF104-1230105
11.00 Atatürk İlkeleri ve CZ09
İnkılap Tarihi 1
ABMAŞRAÇ
5202.21.13
YPZ304-1230304
BBF109-1230108
10.00 CZ09 13.00 Bilimsel Hesaplama G011
Yabancı Dil 1
Teknikleri
EBMEŞREP 6202.10.10
RESMİ TATİL
AMUC
İSETRAMUC
RAZAP
İSETRAZAP
6202.10.20
6202.10.30
6202.10.40
6202.10.50
BBF108-1230104 YPZ302-1230302
10.00 CZ09 13.00 G011
Fizik Ayrık Matematik
ILAS
6202.10.60 YPZ101-1230102
Yapay Zeka ve YPZ301-1230301
13.00 CZ09 10.00 A104
Makine Öğrenimine Veri Yapıları
Giriş
ABMAŞRAÇ
6202.10.70 Dersin Dersin
Üniversite Seçmeli işlendiği Üniversite Seçmeli işlendiği
15.00 15.00
Ders derslikte Ders derslikte
yapılacaktır yapılacaktır
EBMEŞREP 6202.10.80
YPZ102-1230101
D212
10.00 Programlamaya
D213
Giriş
AMUC
6202.10.90
YPZ305-1230305
10.00 CZ09
Olasılık ve İstatistik
Dr. Öğr. Üyesi Hazim İŞCAN Doç. Dr. Hakan YILMAZ
Dekan Yardımcısı Bölüm Başkanı",https://www.ktun.edu.tr/Dosyalar/5015/files/final%20takvimii.pdf
SINAV PROGRAMLARI,2025-2026 Güz yarıyılı vize takvimi,"--- Sayfa 1 ---
YAPAY ZEKA VE MAKİNE ÖĞRENMESİ 2025-2026 GÜZ YARIYILI VİZE TAKVİMİ
1. SINIF 2. SINIF
GÜ Başlama
Dersin Adı Sınıf Dersin Adı Sınıf
N Saati
9.30
5202.11.01
İSETRAZAP 10.30 Matematik 1 CZ09
13.00 Diferansiyel Denklemler A104
5202.11.11
ılaS
10.00 Ayrık Matematik G010
11.00 Atatürk İlkeleri ve İnkılap CZ09
Tarihi 1
11.00 Türk Dili 1 CZ09
14.00 Olasılık ve İstatistik G010
5202.11.21 abmaşraÇ
10.00 Yabancı Dil 1 CZ09 Yapay Zeka ve Etik G010
Bilimsel Hesaplama
13.00 G010
Teknikleri
Dersin işlendiği Dersin işlendiği derslikte
15.00 Üniversite Seçmeli Dersi Üniversite Seçmeli Dersi
derslikte yapılacaktır yapılacaktır
5202.11.31 ebmeşreP
10.00 Fizik CZ09
14.00 Programlamaya Giriş G010
5202.11.41
amuC
Yapay Zeka ve Makine
10.00 CZ09
Öğrenmesine Giriş
14.00 Veri Yapıları G010",https://www.ktun.edu.tr/Dosyalar/5015/files/YZM%c3%96-2025-2026-g%c3%bcz_d%c3%b6nemi_vize_takvimi%20-%20N%c3%96.pdf
SINAV PROGRAMLARI,2024-2025 Bahar yarıyılı bütünleme takvimi,"--- Sayfa 1 ---
Tarih Gün Ders Adı Sınav Yeri Saati
23.06.2025 Pazartesi Yabancı Dil 2 G011 10:30
23.06.2025 Pazartesi Makine Öğrenmesinin İlkeleri G011 13:00
24.06.2025 Salı Türk Dili 2 G011 10:00
24.06.2025 Salı Atatürk İlkeleri ve İnkılap Tarihi 2 G011 11:00
24.06.2025 Salı Matematik 2 G011 14:00
25.06.2025 Çarşamba Lineer Cebir G011 10:00
25.06.2025 Çarşamba Nesneye Yönelik Programlama G011 13:00
26.06.2025 Perşembe Algoritmalar G011 10:30",https://www.ktun.edu.tr/Dosyalar/5008/files/2024-2025%20Bahar%20D%C3%B6nemi%20B%C3%BCt%C3%BCnleme%20Takvimi.pdf
SINAV PROGRAMLARI,2024-2025 Bahar yarıyılı final takvimi,"--- Sayfa 1 ---
Tarih Gün Ders Adı Sınav Yeri Saati
10.06.2025 Salı Makine Öğrenmesinin İlkeleri G011 13:00
11.06.2025 Çarşamba Matematik 2 G011 10:00
12.06.2025 Perşembe Nesneye Yönelik Programlama G011 13:00
13.06.2025 Cuma Yabancı Dil 2 G011 11:00
16.06.2025 Pazartesi Türk Dili 2 G011 10:00
16.06.2025 Pazartesi Atatürk İlkeleri ve İnkılap Tarihi 2 G011 11:00
17.06.2025 Salı Algoritmalar G011 10:30
18.06.2025 Çarşamba Lineer Cebir G011 14:00",https://www.ktun.edu.tr/Dosyalar/5008/files/2024-2025%20Bahar%20D%C3%B6nemi%20Final%20Takvimi.pdf
SINAV PROGRAMLARI,2024-2025 Bahar yarıyılı vize takvimi,"--- Sayfa 1 ---
Tarih Gün Ders Adı Sınav Yeri Saati
07.04.2025 Pazartesi Türk Dili 2 G010 10:00
07.04.2025 Pazartesi Atatürk İlkeleri ve İnkılap Tarihi 2 G010 11:00
07.04.2025 Pazartesi Yabancı Dil 2 G010 13:30
08.04.2025 Salı Makine Öğrenmesinin İlkeleri G101 10:00
09.04.2025 Çarşamba Matematik 2 G011 14:30
10.04.2025 Perşembe Nesneye Yönelik Programlama G104 13:00
11.04.2025 Cuma Algoritmalar G011 10:30
11.04.2025 Cuma Lineer Cebir G011 14:00",https://www.ktun.edu.tr/Dosyalar/5008/files/2024-2025%20Bahar%20yar%c4%b1y%c4%b1l%c4%b1%20vize%20takvimi.pdf
